district_id,district_name,attendance_rate,chronic_absenteeism_rate,dropout_rate,student_count,econ_disadv_pct,eb_el_pct,special_ed_pct,at_risk_pct,hispanic_pct,african_american_pct,white_pct,math_meets_pct,reading_meets_pct
018908,CRANFILLS GAP ISD,95.6,9.1,0.0,116,61.2,5.2,17.2,37.9,35.3,1.7,61.2,62.0,65.0
019901,DEKALB ISD,95.1,12.2,0.3,898,66.5,5.9,13.9,35.6,13.4,12.9,66.4,45.0,52.0
019902,HOOKS ISD,95.6,10.2,0.0,912,53.5,3.1,15.1,46.1,8.2,12.7,66.0,47.0,64.0
019903,MAUD ISD,95.7,9.3,0.0,448,58.3,0.0,16.3,28.3,7.6,5.4,78.1,58.0,58.0
019905,NEW BOSTON ISD,94.0,19.5,0.8,1107,80.5,2.6,19.5,48.3,8.9,24.0,55.3,50.0,56.0
019906,REDWATER ISD,95.1,11.8,0.3,1100,46.4,0.9,14.6,32.1,4.3,3.4,87.6,58.0,64.0
019907,TEXARKANA ISD,93.6,20.9,1.7,7264,75.0,12.8,13.6,62.4,21.0,43.3,27.5,29.0,42.0
019908,LIBERTY-EYLAU ISD,91.3,32.8,1.6,1936,87.9,4.6,17.0,65.5,8.6,56.6,24.7,20.0,32.0
019909,SIMMS ISD,95.5,9.3,0.0,480,61.3,1.3,13.5,37.9,4.0,0.2,89.4,49.0,59.0
019910,MALTA ISD,97.0,2.3,,223,46.2,0.0,10.8,38.1,5.4,1.3,85.7,51.0,67.0
019911,RED LICK ISD,96.6,4.8,,504,7.5,1.2,10.9,29.6,6.2,2.2,85.9,66.0,83.0
019912,PLEASANT GROVE ISD,95.4,9.5,0.3,2365,41.8,4.9,10.1,31.6,9.2,15.5,64.7,54.0,72.0
019913,HUBBARD ISD,95.6,12.2,,64,78.1,15.6,6.3,28.1,25.0,0.0,68.8,36.0,46.0
019914,LEARY ISD,96.0,5.9,,119,95.0,0.0,12.6,49.6,4.2,8.4,79.0,16.0,25.0
020901,ALVIN ISD,95.0,12.3,0.2,29936,51.1,16.5,15.1,43.9,40.3,26.7,19.4,50.0,62.0
020902,ANGLETON ISD,94.2,16.8,0.0,7053,65.3,16.9,17.9,53.1,52.6,12.6,30.4,48.0,53.0
020904,DANBURY ISD,95.1,11.3,0.0,671,28.9,6.6,18.2,27.3,25.5,0.3,70.6,55.0,61.0
020905,BRAZOSPORT ISD,92.6,23.3,1.4,11143,63.6,13.8,18.3,51.2,56.8,7.1,30.7,45.0,48.0
020906,SWEENY ISD,93.6,18.5,0.0,1915,51.6,4.8,15.0,48.2,25.8,9.6,59.0,37.0,48.0
020907,COLUMBIA-BRAZORIA ISD,92.1,26.5,0.5,2861,63.7,9.6,18.5,55.5,33.4,6.1,55.9,35.0,50.0
020908,PEARLAND ISD,95.7,8.6,0.0,20794,36.8,12.5,13.3,31.8,39.7,15.0,28.4,65.0,74.0
020910,DAMON ISD,93.9,18.0,,105,74.3,21.9,25.7,45.7,64.8,4.8,24.8,37.0,54.0
021803,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,94.1,14.9,,300,100.0,41.0,13.3,42.3,60.3,31.7,6.0,35.0,44.0
021805,ARROW ACADEMY,93.1,24.2,,454,77.3,9.7,13.2,48.7,31.5,59.5,6.2,44.0,50.0
021901,COLLEGE STATION ISD,95.0,12.2,0.6,14268,40.6,12.0,17.0,36.5,24.5,14.3,49.8,58.0,62.0
021902,BRYAN ISD,93.8,18.1,1.7,15998,77.6,29.4,18.9,72.2,61.4,17.0,17.7,33.0,42.0
022004,TERLINGUA CSD,92.9,25.0,0.0,121,73.6,60.3,7.4,72.7,81.8,0.8,17.4,5.0,20.0
022901,ALPINE ISD,94.4,15.6,1.6,903,51.1,7.6,14.6,42.6,61.9,0.6,33.9,39.0,58.0
022902,MARATHON ISD,95.0,9.6,0.0,58,70.7,0.0,22.4,10.3,63.8,5.2,31.0,22.0,55.0
022903,SAN VICENTE ISD,-1.0,28.6,,9,0.0,0.0,11.1,0.0,55.6,0.0,44.4,17.0,50.0
